ACC,ACC_bal,MCC,F1,TPR,TNR,PPV,NPV,FPR,FNR,FDR,FOR,LRp,LRn,sl_omega,f_norm,edge_count,n,round,time
0.997171717171717,0.86,0.847318545736323,0.837209302325581,0.72,1,1,0.997150997150997,0,0.28,0,0.0028490028490028,Inf,0.28,1.76753159103025,2.85309506403171,36,120,18,115.4862323
0.995959595959596,0.839591836734694,0.77812488106998,0.772727272727273,0.68,0.999183673469388,0.894736842105263,0.996742671009772,0.000816326530612255,0.32,0.105263157894737,0.00325732899022801,832.99999999999,0.320261437908497,1.76919910582517,5.87108837528386,38,120,19,114.7840107
0.994141414141414,0.769387755102041,0.662039367272563,0.650602409638554,0.54,0.998775510204082,0.818181818181818,0.995322351027049,0.00122448979591838,0.46,0.181818181818182,0.00467764897295098,440.999999999995,0.460563955864324,2.15032299251178,2.59509374513831,33,120,20,115.3765794
0.994747474747475,0.809285714285714,0.708682846911992,0.704545454545455,0.62,0.998571428571429,0.815789473684211,0.996131921824104,0.00142857142857145,0.38,0.184210526315789,0.00386807817589574,433.999999999995,0.380543633762518,1.95618863439201,2.53857908083498,38,120,21,114.9534466
0.994545454545455,0.75969387755102,0.680532808453751,0.658227848101266,0.52,0.999387755102041,0.896551724137931,0.995122942491364,0.000612244897959191,0.48,0.103448275862069,0.00487705750863643,849.333333333323,0.480294057586277,1.86622747885433,2.33897287709531,29,120,22,115.2881501
0.996565656565657,0.889387755102041,0.820482959048357,0.821052631578947,0.78,0.998775510204082,0.866666666666667,0.997757390417941,0.00122448979591838,0.22,0.133333333333333,0.00224260958205913,636.999999999992,0.220269718022068,2.21257708400394,11.2443095158818,45,120,23,115.3815715
0.996767676767677,0.919183673469388,0.838367346938775,0.84,0.84,0.998367346938775,0.84,0.998367346938775,0.00163265306122451,0.16,0.16,0.00163265306122451,514.499999999994,0.160261651676206,1.96107610726045,4.38655908843256,50,120,24,116.3414197
0.995757575757576,0.879081632653061,0.781746426457022,0.783505154639175,0.76,0.998163265306122,0.808510638297872,0.997552518866,0.00183673469387757,0.24,0.191489361702128,0.00244748113399962,413.777777777773,0.240441627479043,2.18597896957404,4.33539122938318,47,120,25,114.9222072
0.997373737373737,0.879897959183674,0.859335449533728,0.853932584269663,0.76,0.999795918367347,0.974358974358974,0.997556505803299,0.000204081632653064,0.24,0.0256410256410257,0.00244349419670131,3723.99999999996,0.240048989589712,1.87715627508918,7.16910659122569,39,120,26,115.8600594
0.993939393939394,0.739591836734694,0.638903451617658,0.615384615384615,0.48,0.999183673469388,0.857142857142857,0.994717594473791,0.000816326530612255,0.52,0.142857142857143,0.00528240552620884,587.999999999993,0.520424836601307,2.410332679411,2.79061597404094,28,120,27,115.1990362
0.997171717171717,0.879795918367347,0.848384234080938,0.844444444444444,0.76,0.999591836734694,0.95,0.997556008146639,0.000408163265306127,0.24,0.05,0.00244399185336053,1861.99999999998,0.24009799918334,1.68198997015496,6.65284132820909,40,120,28,114.6011147
0.995151515151515,0.819387755102041,0.731830191631322,0.727272727272727,0.64,0.998775510204082,0.842105263157895,0.996335504885994,0.00122448979591838,0.36,0.157894736842105,0.00366449511400646,522.66666666666,0.360441356763384,2.00022660096297,2.95055311233969,38,120,29,114.907597
0.994141414141414,0.71,0.646164770418134,0.591549295774648,0.42,1,1,0.994116453641712,0,0.58,0,0.00588354635828769,Inf,0.58,1.63929388088631,2.04622255653538,21,120,30,114.877589
0.993737373737374,0.699897959183673,0.615081042395104,0.563380281690141,0.4,0.999795918367347,0.952380952380952,0.993913572732806,0.000204081632653064,0.6,0.0476190476190477,0.00608642726719411,1959.99999999998,0.60012247397428,2.04605649851966,2.62202097465004,21,120,31,116.0338238
0.995959595959596,0.839591836734694,0.77812488106998,0.772727272727273,0.68,0.999183673469388,0.894736842105263,0.996742671009772,0.000816326530612255,0.32,0.105263157894737,0.00325732899022801,832.99999999999,0.320261437908497,2.16332033035322,3.25516575779424,38,120,32,116.3073014
0.994343434343434,0.759591836734694,0.668899529367642,0.65,0.52,0.999183673469388,0.866666666666667,0.995121951219512,0.000816326530612255,0.48,0.133333333333333,0.00487804878048781,636.999999999992,0.480392156862745,1.70931614009052,2.38158966949449,30,120,33,114.9422635
0.992929292929293,0.719285714285714,0.574642438258197,0.556962025316456,0.44,0.998571428571429,0.758620689655172,0.994310099573257,0.00142857142857145,0.56,0.241379310344828,0.00568990042674256,307.999999999996,0.560801144492132,2.11962101514351,2.65313347912883,29,120,34,116.1677129
0.998181818181818,0.919897959183673,0.904929080794451,0.903225806451613,0.84,0.999795918367347,0.976744186046512,0.9983696759731,0.000204081632653064,0.16,0.0232558139534884,0.00163032402690033,4115.99999999995,0.160032659726475,2.06706369211388,23.4513389491157,43,120,35,115.109672
0.994545454545455,0.769591836734694,0.683440194948223,0.666666666666667,0.54,0.999183673469388,0.870967741935484,0.99532425289693,0.000816326530612255,0.46,0.129032258064516,0.00467574710306973,661.499999999992,0.460375816993464,2.16484389242969,2.69550673910711,31,120,36,115.8890483
0.994949494949495,0.809387755102041,0.718359624909962,0.71264367816092,0.62,0.998775510204082,0.837837837837838,0.996132709139019,0.00122448979591838,0.38,0.162162162162162,0.00386729086098103,506.333333333327,0.380465876583572,2.26684829319638,4.83126163908953,37,120,37,116.4643677
0.996161616161616,0.83969387755102,0.788726646215457,0.781609195402299,0.68,0.999387755102041,0.918918918918919,0.996743334011805,0.000612244897959191,0.32,0.081081081081081,0.00325666598819463,1110.66666666665,0.320196038390851,1.85702973598985,2.96640437194053,37,120,38,115.7753591
0.993535353535353,0.759183673469388,0.627588942506844,0.619047619047619,0.52,0.998367346938775,0.764705882352941,0.995117982099268,0.00163265306122451,0.48,0.235294117647059,0.00488201790073228,318.499999999996,0.480784955028618,2.06932298898096,2.60594663147482,34,120,39,115.6667079
